Pendidikan Tertinggi yang Ditamatkan + Rata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-Rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Pendidikan Tertinggi yang Ditamatkan dan Lapangan Pekerjaan Utama di 17 Sektor (Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,B Pertambangan dan Penggalian,,,C Industri Pengolahan,,,D Pengadaan Listrik dan Gas,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,F Konstruksi,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,H Transportasi dan Pergudangan,,,I Penyediaan Akomodasi dan Makan Minum,,,J Informasi dan Komunikasi,,,K Jasa Keuangan dan Asuransi,,,L Real Estate,,,"M,N Jasa Perusahaan",,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,P Jasa Pendidikan,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,"R,S,T,U Jasa Lainnya",,,Total,,
,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,,2024,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
Tidak/Belum Pernah Sekolah,636959.2,1367181.95,-,-,2447391.95,-,776788.07,1465896.75,-,-,-,-,-,-,-,3022857.68,2322284.84,-,493593.01,2171309.7,-,1945701.36,1801242.24,-,938302.24,1381238.97,-,-,-,-,-,-,-,-,-,-,913574.36,-,-,904152.45,2020646.83,-,-,2255257.01,-,1899106.05,-,-,-,1070539.46,-,1314303.61,1568337.92,-
Tidak/Belum Tamat SD,1707184.68,1864041.26,-,2344477.17,2767313.44,-,1668246.27,1659292.95,-,1694029.85,3281119.67,-,1668280.75,2098590.71,-,2477481.11,2606716.2,-,1787051.1,1876121.61,-,1850857.33,2253391.06,-,1354058.68,1637090.75,-,1945615.41,1128495.76,-,-,-,-,1700290.33,2450500.09,-,1448479.94,1591723.91,-,1232370.12,1395455.41,-,1516442.06,1094887.38,-,1688042.2,1342859.69,-,1342859.69,1304532.14,-,1749210.28,1877398.26,-
Sekolah Dasar,2012919.44,2139659.23,-,2684625.35,2861783.94,-,1816843.54,2106044.11,-,2656301.98,3593517.89,-,1810355.45,1936667.91,-,2532438.69,2703506.71,-,1956600.16,2069836.95,-,2353355.88,2452309.76,-,1627949.94,1703299.54,-,1676984,2177330.71,-,1706527.82,2052444.41,-,2392940.56,1753583.3,-,1961699.57,2134649.72,-,1596206.73,1602841.87,-,1370490.32,1136764.82,-,1680436.53,1320687.75,-,1320687.75,1483830.42,-,1970140.85,2143183.99,-
Sekolah Menegah Pertama,2299072.12,2420946.56,-,3288626.37,3483973.44,-,2316429.6,2504456.17,-,2508178.56,2965479.18,-,2201879,1967662.36,-,2651375.71,2827261.82,-,1964756.51,2193060.46,-,2793632.92,2781234.81,-,1743973.33,1818821.67,-,2150125.49,2232796.85,-,2784304.37,2698237.05,-,2707947.88,2343932.12,-,2113080.29,2269785.68,-,1947767.9,2019581.93,-,1412030.69,1280863.12,-,1692466.58,1618832.04,-,1618832.04,1764160.56,-,2194956,2379940.66,-
Sekolah Menengah Atas (Umum),2753212.49,2878503.28,-,5048125.99,5488291.43,-,3225670.96,3381985.96,-,3704714.97,3832961.01,-,2951532.24,3321295.82,-,3040422.34,3279364.07,-,2562454.73,2810541.25,-,3707055.66,3861445.99,-,2213045.41,2414398.78,-,2567799.85,3011019.5,-,3134687.65,3771763.29,-,3868895.45,4062561.41,-,3023592.5,3489521.27,-,3020728.98,3462313.98,-,1337912.84,1399808.88,-,2782391.3,2490920.77,-,2490920.77,2307631.77,-,2842748.7,3092781.11,-
Sekolah Menengah Atas (Kejuruan),2744768.02,2613052.35,-,5606448.61,5981142.32,-,3346639.96,3367873.45,-,3986633.69,3851584.88,-,2317313.6,3035652.02,-,3032947.18,3464363.14,-,2535395.22,2774714.38,-,3373453.04,3884825.64,-,2361221.17,2498297.55,-,2680047.53,3391335.28,-,3304027.97,3265349.2,-,4188181.2,3605919.12,-,2847142.89,3360968.36,-,2760022.84,3168050.45,-,1748587.71,1682660.74,-,2538477.78,2581422.72,-,2581422.72,2215755.89,-,2891947.86,3091620.6,-
Diploma I/II/III/Akademi,2707464.4,4508693.99,-,7478925.68,9671400.44,-,5050486.85,6051207.26,-,5896031.7,6976905.5,-,3251326.41,4782703.24,-,5534724.4,6929918.07,-,4250995.98,4323627.2,-,7597623.22,7386235.86,-,4591296.27,4993308.24,-,5574375.01,5721567.16,-,5530043.83,5046207.02,-,6117124.29,4987485.6,-,4760106.02,4906010.09,-,3398162.23,3632864.83,-,2202463.45,2290981.99,-,2911095.85,3250905.93,-,3250905.93,2891994.29,-,3868554.76,4254733.2,-
Universitas,5582834.59,5034385.08,-,11203714.6,9781520.7,-,7119720.59,7236055.63,-,10311522.12,8333802.85,-,6794183.3,5298287.16,-,6229356.37,7456975.78,-,4185765.41,4991058.68,-,6450806.16,7559110.68,-,4041499.82,4374443.02,-,9090884.45,7838785.54,-,7274833.45,6874476.98,-,6246710.35,7564964.44,-,7112272.85,7545702.36,-,4901945.09,5385808.98,-,3314189.66,3346785.62,-,4802503.41,5285343.79,-,5285343.79,4397796.18,-,4685240.56,4960718.67,-
Rata-Rata,2236045.13,2407712.28,-,4944885.71,5228541.66,-,3026413.39,3246219.57,-,4853131.26,4832177.27,-,2692898.6,2948557.91,-,2945227.13,3293968.26,-,2544247.87,2846680.18,-,3631763.76,3977338.81,-,2240980.46,2439455.46,-,4736935.98,4983257.26,-,5154871.91,5084219.8,-,4313920.2,4297519.77,-,3725742.35,4143963.87,-,3670645.28,4155017.53,-,2843321.04,2858783.12,-,3350737.28,3801776.07,-,3801776.07,1992909.83,-,3040719.03,3267618.42,-
