pendidikan,sektor,periode,gaji
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Februari,636959.2
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Agustus,1367181.95
Tidak/Belum Pernah Sekolah,B Pertambangan dan Penggalian,Agustus,2447391.95
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Februari,776788.07
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Agustus,1465896.75
Tidak/Belum Pernah Sekolah,F Konstruksi,Februari,3022857.68
Tidak/Belum Pernah Sekolah,F Konstruksi,Agustus,2322284.84
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,493593.01
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2171309.7
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Februari,1945701.36
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Agustus,1801242.24
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Februari,938302.24
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Agustus,1381238.97
Tidak/Belum Pernah Sekolah,"M,N Jasa Perusahaan",Februari,913574.36
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,904152.45
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,2020646.83
Tidak/Belum Pernah Sekolah,P Jasa Pendidikan,Agustus,2255257.01
Tidak/Belum Pernah Sekolah,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1899106.05
Tidak/Belum Pernah Sekolah,"R,S,T,U Jasa Lainnya",Agustus,1070539.46
Tidak/Belum Pernah Sekolah,Total,Februari,1314303.61
Tidak/Belum Pernah Sekolah,Total,Agustus,1568337.92
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Februari,1707184.68
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Agustus,1864041.26
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Februari,2344477.17
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Agustus,2767313.44
Tidak/Belum Tamat SD,C Industri Pengolahan,Februari,1668246.27
Tidak/Belum Tamat SD,C Industri Pengolahan,Agustus,1659292.95
Tidak/Belum Tamat SD,D Pengadaan Listrik dan Gas,Februari,1694029.85
Tidak/Belum Tamat SD,D Pengadaan Listrik dan Gas,Agustus,3281119.67
Tidak/Belum Tamat SD,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,1668280.75
Tidak/Belum Tamat SD,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,2098590.71
Tidak/Belum Tamat SD,F Konstruksi,Februari,2477481.11
Tidak/Belum Tamat SD,F Konstruksi,Agustus,2606716.2
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1787051.1
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,1876121.61
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Februari,1850857.33
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Agustus,2253391.06
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Februari,1354058.68
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Agustus,1637090.75
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Februari,1945615.41
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Agustus,1128495.76
Tidak/Belum Tamat SD,L Real Estate,Februari,1700290.33
Tidak/Belum Tamat SD,L Real Estate,Agustus,2450500.09
Tidak/Belum Tamat SD,"M,N Jasa Perusahaan",Februari,1448479.94
Tidak/Belum Tamat SD,"M,N Jasa Perusahaan",Agustus,1591723.91
Tidak/Belum Tamat SD,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1232370.12
Tidak/Belum Tamat SD,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,1395455.41
Tidak/Belum Tamat SD,P Jasa Pendidikan,Februari,1516442.06
Tidak/Belum Tamat SD,P Jasa Pendidikan,Agustus,1094887.38
Tidak/Belum Tamat SD,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1688042.2
Tidak/Belum Tamat SD,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1342859.69
Tidak/Belum Tamat SD,"R,S,T,U Jasa Lainnya",Februari,1342859.69
Tidak/Belum Tamat SD,"R,S,T,U Jasa Lainnya",Agustus,1304532.14
Tidak/Belum Tamat SD,Total,Februari,1749210.28
Tidak/Belum Tamat SD,Total,Agustus,1877398.26
Sekolah Dasar,"A Pertanian, Kehutanan dan Perikanan",Februari,2012919.44
Sekolah Dasar,"A Pertanian, Kehutanan dan Perikanan",Agustus,2139659.23
Sekolah Dasar,B Pertambangan dan Penggalian,Februari,2684625.35
Sekolah Dasar,B Pertambangan dan Penggalian,Agustus,2861783.94
Sekolah Dasar,C Industri Pengolahan,Februari,1816843.54
Sekolah Dasar,C Industri Pengolahan,Agustus,2106044.11
Sekolah Dasar,D Pengadaan Listrik dan Gas,Februari,2656301.98
Sekolah Dasar,D Pengadaan Listrik dan Gas,Agustus,3593517.89
Sekolah Dasar,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,1810355.45
Sekolah Dasar,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,1936667.91
Sekolah Dasar,F Konstruksi,Februari,2532438.69
Sekolah Dasar,F Konstruksi,Agustus,2703506.71
Sekolah Dasar,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1956600.16
Sekolah Dasar,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2069836.95
Sekolah Dasar,H Transportasi dan Pergudangan,Februari,2353355.88
Sekolah Dasar,H Transportasi dan Pergudangan,Agustus,2452309.76
Sekolah Dasar,I Penyediaan Akomodasi dan Makan Minum,Februari,1627949.94
Sekolah Dasar,I Penyediaan Akomodasi dan Makan Minum,Agustus,1703299.54
Sekolah Dasar,J Informasi dan Komunikasi,Februari,1676984.0
Sekolah Dasar,J Informasi dan Komunikasi,Agustus,2177330.71
Sekolah Dasar,K Jasa Keuangan dan Asuransi,Februari,1706527.82
Sekolah Dasar,K Jasa Keuangan dan Asuransi,Agustus,2052444.41
Sekolah Dasar,L Real Estate,Februari,2392940.56
Sekolah Dasar,L Real Estate,Agustus,1753583.3
Sekolah Dasar,"M,N Jasa Perusahaan",Februari,1961699.57
Sekolah Dasar,"M,N Jasa Perusahaan",Agustus,2134649.72
Sekolah Dasar,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1596206.73
Sekolah Dasar,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,1602841.87
Sekolah Dasar,P Jasa Pendidikan,Februari,1370490.32
Sekolah Dasar,P Jasa Pendidikan,Agustus,1136764.82
Sekolah Dasar,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1680436.53
Sekolah Dasar,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1320687.75
Sekolah Dasar,"R,S,T,U Jasa Lainnya",Februari,1320687.75
Sekolah Dasar,"R,S,T,U Jasa Lainnya",Agustus,1483830.42
Sekolah Dasar,Total,Februari,1970140.85
Sekolah Dasar,Total,Agustus,2143183.99
Sekolah Menegah Pertama,"A Pertanian, Kehutanan dan Perikanan",Februari,2299072.12
Sekolah Menegah Pertama,"A Pertanian, Kehutanan dan Perikanan",Agustus,2420946.56
Sekolah Menegah Pertama,B Pertambangan dan Penggalian,Februari,3288626.37
Sekolah Menegah Pertama,B Pertambangan dan Penggalian,Agustus,3483973.44
Sekolah Menegah Pertama,C Industri Pengolahan,Februari,2316429.6
Sekolah Menegah Pertama,C Industri Pengolahan,Agustus,2504456.17
Sekolah Menegah Pertama,D Pengadaan Listrik dan Gas,Februari,2508178.56
Sekolah Menegah Pertama,D Pengadaan Listrik dan Gas,Agustus,2965479.18
Sekolah Menegah Pertama,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,2201879.0
Sekolah Menegah Pertama,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,1967662.36
Sekolah Menegah Pertama,F Konstruksi,Februari,2651375.71
Sekolah Menegah Pertama,F Konstruksi,Agustus,2827261.82
Sekolah Menegah Pertama,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1964756.51
Sekolah Menegah Pertama,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2193060.46
Sekolah Menegah Pertama,H Transportasi dan Pergudangan,Februari,2793632.92
Sekolah Menegah Pertama,H Transportasi dan Pergudangan,Agustus,2781234.81
Sekolah Menegah Pertama,I Penyediaan Akomodasi dan Makan Minum,Februari,1743973.33
Sekolah Menegah Pertama,I Penyediaan Akomodasi dan Makan Minum,Agustus,1818821.67
Sekolah Menegah Pertama,J Informasi dan Komunikasi,Februari,2150125.49
Sekolah Menegah Pertama,J Informasi dan Komunikasi,Agustus,2232796.85
Sekolah Menegah Pertama,K Jasa Keuangan dan Asuransi,Februari,2784304.37
Sekolah Menegah Pertama,K Jasa Keuangan dan Asuransi,Agustus,2698237.05
Sekolah Menegah Pertama,L Real Estate,Februari,2707947.88
Sekolah Menegah Pertama,L Real Estate,Agustus,2343932.12
Sekolah Menegah Pertama,"M,N Jasa Perusahaan",Februari,2113080.29
Sekolah Menegah Pertama,"M,N Jasa Perusahaan",Agustus,2269785.68
Sekolah Menegah Pertama,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1947767.9
Sekolah Menegah Pertama,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,2019581.93
Sekolah Menegah Pertama,P Jasa Pendidikan,Februari,1412030.69
Sekolah Menegah Pertama,P Jasa Pendidikan,Agustus,1280863.12
Sekolah Menegah Pertama,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1692466.58
Sekolah Menegah Pertama,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1618832.04
Sekolah Menegah Pertama,"R,S,T,U Jasa Lainnya",Februari,1618832.04
Sekolah Menegah Pertama,"R,S,T,U Jasa Lainnya",Agustus,1764160.56
Sekolah Menegah Pertama,Total,Februari,2194956.0
Sekolah Menegah Pertama,Total,Agustus,2379940.66
Sekolah Menengah Atas (Umum),"A Pertanian, Kehutanan dan Perikanan",Februari,2753212.49
Sekolah Menengah Atas (Umum),"A Pertanian, Kehutanan dan Perikanan",Agustus,2878503.28
Sekolah Menengah Atas (Umum),B Pertambangan dan Penggalian,Februari,5048125.99
Sekolah Menengah Atas (Umum),B Pertambangan dan Penggalian,Agustus,5488291.43
Sekolah Menengah Atas (Umum),C Industri Pengolahan,Februari,3225670.96
Sekolah Menengah Atas (Umum),C Industri Pengolahan,Agustus,3381985.96
Sekolah Menengah Atas (Umum),D Pengadaan Listrik dan Gas,Februari,3704714.97
Sekolah Menengah Atas (Umum),D Pengadaan Listrik dan Gas,Agustus,3832961.01
Sekolah Menengah Atas (Umum),"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,2951532.24
Sekolah Menengah Atas (Umum),"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,3321295.82
Sekolah Menengah Atas (Umum),F Konstruksi,Februari,3040422.34
Sekolah Menengah Atas (Umum),F Konstruksi,Agustus,3279364.07
Sekolah Menengah Atas (Umum),"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,2562454.73
Sekolah Menengah Atas (Umum),"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2810541.25
Sekolah Menengah Atas (Umum),H Transportasi dan Pergudangan,Februari,3707055.66
Sekolah Menengah Atas (Umum),H Transportasi dan Pergudangan,Agustus,3861445.99
Sekolah Menengah Atas (Umum),I Penyediaan Akomodasi dan Makan Minum,Februari,2213045.41
Sekolah Menengah Atas (Umum),I Penyediaan Akomodasi dan Makan Minum,Agustus,2414398.78
Sekolah Menengah Atas (Umum),J Informasi dan Komunikasi,Februari,2567799.85
Sekolah Menengah Atas (Umum),J Informasi dan Komunikasi,Agustus,3011019.5
Sekolah Menengah Atas (Umum),K Jasa Keuangan dan Asuransi,Februari,3134687.65
Sekolah Menengah Atas (Umum),K Jasa Keuangan dan Asuransi,Agustus,3771763.29
Sekolah Menengah Atas (Umum),L Real Estate,Februari,3868895.45
Sekolah Menengah Atas (Umum),L Real Estate,Agustus,4062561.41
Sekolah Menengah Atas (Umum),"M,N Jasa Perusahaan",Februari,3023592.5
Sekolah Menengah Atas (Umum),"M,N Jasa Perusahaan",Agustus,3489521.27
Sekolah Menengah Atas (Umum),"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,3020728.98
Sekolah Menengah Atas (Umum),"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,3462313.98
Sekolah Menengah Atas (Umum),P Jasa Pendidikan,Februari,1337912.84
Sekolah Menengah Atas (Umum),P Jasa Pendidikan,Agustus,1399808.88
Sekolah Menengah Atas (Umum),Q Jasa Kesehatan dan Kegiatan Sosial,Februari,2782391.3
Sekolah Menengah Atas (Umum),Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,2490920.77
Sekolah Menengah Atas (Umum),"R,S,T,U Jasa Lainnya",Februari,2490920.77
Sekolah Menengah Atas (Umum),"R,S,T,U Jasa Lainnya",Agustus,2307631.77
Sekolah Menengah Atas (Umum),Total,Februari,2842748.7
Sekolah Menengah Atas (Umum),Total,Agustus,3092781.11
Sekolah Menengah Atas (Kejuruan),"A Pertanian, Kehutanan dan Perikanan",Februari,2744768.02
Sekolah Menengah Atas (Kejuruan),"A Pertanian, Kehutanan dan Perikanan",Agustus,2613052.35
Sekolah Menengah Atas (Kejuruan),B Pertambangan dan Penggalian,Februari,5606448.61
Sekolah Menengah Atas (Kejuruan),B Pertambangan dan Penggalian,Agustus,5981142.32
Sekolah Menengah Atas (Kejuruan),C Industri Pengolahan,Februari,3346639.96
Sekolah Menengah Atas (Kejuruan),C Industri Pengolahan,Agustus,3367873.45
Sekolah Menengah Atas (Kejuruan),D Pengadaan Listrik dan Gas,Februari,3986633.69
Sekolah Menengah Atas (Kejuruan),D Pengadaan Listrik dan Gas,Agustus,3851584.88
Sekolah Menengah Atas (Kejuruan),"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,2317313.6
Sekolah Menengah Atas (Kejuruan),"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,3035652.02
Sekolah Menengah Atas (Kejuruan),F Konstruksi,Februari,3032947.18
Sekolah Menengah Atas (Kejuruan),F Konstruksi,Agustus,3464363.14
Sekolah Menengah Atas (Kejuruan),"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,2535395.22
Sekolah Menengah Atas (Kejuruan),"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2774714.38
Sekolah Menengah Atas (Kejuruan),H Transportasi dan Pergudangan,Februari,3373453.04
Sekolah Menengah Atas (Kejuruan),H Transportasi dan Pergudangan,Agustus,3884825.64
Sekolah Menengah Atas (Kejuruan),I Penyediaan Akomodasi dan Makan Minum,Februari,2361221.17
Sekolah Menengah Atas (Kejuruan),I Penyediaan Akomodasi dan Makan Minum,Agustus,2498297.55
Sekolah Menengah Atas (Kejuruan),J Informasi dan Komunikasi,Februari,2680047.53
Sekolah Menengah Atas (Kejuruan),J Informasi dan Komunikasi,Agustus,3391335.28
Sekolah Menengah Atas (Kejuruan),K Jasa Keuangan dan Asuransi,Februari,3304027.97
Sekolah Menengah Atas (Kejuruan),K Jasa Keuangan dan Asuransi,Agustus,3265349.2
Sekolah Menengah Atas (Kejuruan),L Real Estate,Februari,4188181.2
Sekolah Menengah Atas (Kejuruan),L Real Estate,Agustus,3605919.12
Sekolah Menengah Atas (Kejuruan),"M,N Jasa Perusahaan",Februari,2847142.89
Sekolah Menengah Atas (Kejuruan),"M,N Jasa Perusahaan",Agustus,3360968.36
Sekolah Menengah Atas (Kejuruan),"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,2760022.84
Sekolah Menengah Atas (Kejuruan),"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,3168050.45
Sekolah Menengah Atas (Kejuruan),P Jasa Pendidikan,Februari,1748587.71
Sekolah Menengah Atas (Kejuruan),P Jasa Pendidikan,Agustus,1682660.74
Sekolah Menengah Atas (Kejuruan),Q Jasa Kesehatan dan Kegiatan Sosial,Februari,2538477.78
Sekolah Menengah Atas (Kejuruan),Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,2581422.72
Sekolah Menengah Atas (Kejuruan),"R,S,T,U Jasa Lainnya",Februari,2581422.72
Sekolah Menengah Atas (Kejuruan),"R,S,T,U Jasa Lainnya",Agustus,2215755.89
Sekolah Menengah Atas (Kejuruan),Total,Februari,2891947.86
Sekolah Menengah Atas (Kejuruan),Total,Agustus,3091620.6
Diploma I/II/III/Akademi,"A Pertanian, Kehutanan dan Perikanan",Februari,2707464.4
Diploma I/II/III/Akademi,"A Pertanian, Kehutanan dan Perikanan",Agustus,4508693.99
Diploma I/II/III/Akademi,B Pertambangan dan Penggalian,Februari,7478925.68
Diploma I/II/III/Akademi,B Pertambangan dan Penggalian,Agustus,9671400.44
Diploma I/II/III/Akademi,C Industri Pengolahan,Februari,5050486.85
Diploma I/II/III/Akademi,C Industri Pengolahan,Agustus,6051207.26
Diploma I/II/III/Akademi,D Pengadaan Listrik dan Gas,Februari,5896031.7
Diploma I/II/III/Akademi,D Pengadaan Listrik dan Gas,Agustus,6976905.5
Diploma I/II/III/Akademi,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,3251326.41
Diploma I/II/III/Akademi,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,4782703.24
Diploma I/II/III/Akademi,F Konstruksi,Februari,5534724.4
Diploma I/II/III/Akademi,F Konstruksi,Agustus,6929918.07
Diploma I/II/III/Akademi,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,4250995.98
Diploma I/II/III/Akademi,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,4323627.2
Diploma I/II/III/Akademi,H Transportasi dan Pergudangan,Februari,7597623.22
Diploma I/II/III/Akademi,H Transportasi dan Pergudangan,Agustus,7386235.86
Diploma I/II/III/Akademi,I Penyediaan Akomodasi dan Makan Minum,Februari,4591296.27
Diploma I/II/III/Akademi,I Penyediaan Akomodasi dan Makan Minum,Agustus,4993308.24
Diploma I/II/III/Akademi,J Informasi dan Komunikasi,Februari,5574375.01
Diploma I/II/III/Akademi,J Informasi dan Komunikasi,Agustus,5721567.16
Diploma I/II/III/Akademi,K Jasa Keuangan dan Asuransi,Februari,5530043.83
Diploma I/II/III/Akademi,K Jasa Keuangan dan Asuransi,Agustus,5046207.02
Diploma I/II/III/Akademi,L Real Estate,Februari,6117124.29
Diploma I/II/III/Akademi,L Real Estate,Agustus,4987485.6
Diploma I/II/III/Akademi,"M,N Jasa Perusahaan",Februari,4760106.02
Diploma I/II/III/Akademi,"M,N Jasa Perusahaan",Agustus,4906010.09
Diploma I/II/III/Akademi,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,3398162.23
Diploma I/II/III/Akademi,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,3632864.83
Diploma I/II/III/Akademi,P Jasa Pendidikan,Februari,2202463.45
Diploma I/II/III/Akademi,P Jasa Pendidikan,Agustus,2290981.99
Diploma I/II/III/Akademi,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,2911095.85
Diploma I/II/III/Akademi,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,3250905.93
Diploma I/II/III/Akademi,"R,S,T,U Jasa Lainnya",Februari,3250905.93
Diploma I/II/III/Akademi,"R,S,T,U Jasa Lainnya",Agustus,2891994.29
Diploma I/II/III/Akademi,Total,Februari,3868554.76
Diploma I/II/III/Akademi,Total,Agustus,4254733.2
Universitas,"A Pertanian, Kehutanan dan Perikanan",Februari,5582834.59
Universitas,"A Pertanian, Kehutanan dan Perikanan",Agustus,5034385.08
Universitas,B Pertambangan dan Penggalian,Februari,11203714.6
Universitas,B Pertambangan dan Penggalian,Agustus,9781520.7
Universitas,C Industri Pengolahan,Februari,7119720.59
Universitas,C Industri Pengolahan,Agustus,7236055.63
Universitas,D Pengadaan Listrik dan Gas,Februari,10311522.12
Universitas,D Pengadaan Listrik dan Gas,Agustus,8333802.85
Universitas,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,6794183.3
Universitas,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,5298287.16
Universitas,F Konstruksi,Februari,6229356.37
Universitas,F Konstruksi,Agustus,7456975.78
Universitas,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,4185765.41
Universitas,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,4991058.68
Universitas,H Transportasi dan Pergudangan,Februari,6450806.16
Universitas,H Transportasi dan Pergudangan,Agustus,7559110.68
Universitas,I Penyediaan Akomodasi dan Makan Minum,Februari,4041499.82
Universitas,I Penyediaan Akomodasi dan Makan Minum,Agustus,4374443.02
Universitas,J Informasi dan Komunikasi,Februari,9090884.45
Universitas,J Informasi dan Komunikasi,Agustus,7838785.54
Universitas,K Jasa Keuangan dan Asuransi,Februari,7274833.45
Universitas,K Jasa Keuangan dan Asuransi,Agustus,6874476.98
Universitas,L Real Estate,Februari,6246710.35
Universitas,L Real Estate,Agustus,7564964.44
Universitas,"M,N Jasa Perusahaan",Februari,7112272.85
Universitas,"M,N Jasa Perusahaan",Agustus,7545702.36
Universitas,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,4901945.09
Universitas,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,5385808.98
Universitas,P Jasa Pendidikan,Februari,3314189.66
Universitas,P Jasa Pendidikan,Agustus,3346785.62
Universitas,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,4802503.41
Universitas,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,5285343.79
Universitas,"R,S,T,U Jasa Lainnya",Februari,5285343.79
Universitas,"R,S,T,U Jasa Lainnya",Agustus,4397796.18
Universitas,Total,Februari,4685240.56
Universitas,Total,Agustus,4960718.67
