pendidikan,sektor,periode,gaji,pendidikan_encoded,"sektor_A Pertanian, Kehutanan dan Perikanan",sektor_B Pertambangan dan Penggalian,sektor_C Industri Pengolahan,sektor_D Pengadaan Listrik dan Gas,"sektor_E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",sektor_F Konstruksi,"sektor_G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",sektor_H Transportasi dan Pergudangan,sektor_I Penyediaan Akomodasi dan Makan Minum,sektor_J Informasi dan Komunikasi,sektor_K Jasa Keuangan dan Asuransi,sektor_L Real Estate,"sektor_M,N Jasa Perusahaan","sektor_O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",sektor_P Jasa Pendidikan,sektor_Q Jasa Kesehatan dan Kegiatan Sosial,"sektor_R,S,T,U Jasa Lainnya",sektor_Total,periode_encoded
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Februari,636959.2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Agustus,1367181.95,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,B Pertambangan dan Penggalian,Agustus,2447391.95,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Februari,776788.07,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Agustus,1465896.75,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,F Konstruksi,Februari,3022857.68,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,F Konstruksi,Agustus,2322284.84,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,493593.01,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2171309.7,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Februari,1945701.36,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Agustus,1801242.24,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Februari,938302.24,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Agustus,1381238.97,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,"M,N Jasa Perusahaan",Februari,913574.36,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,904152.45,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,2020646.83,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Tidak/Belum Pernah Sekolah,P Jasa Pendidikan,Agustus,2255257.01,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Tidak/Belum Pernah Sekolah,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1899106.05,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Tidak/Belum Pernah Sekolah,"R,S,T,U Jasa Lainnya",Agustus,1070539.46,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Tidak/Belum Pernah Sekolah,Total,Februari,1314303.61,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
Tidak/Belum Pernah Sekolah,Total,Agustus,1568337.92,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Februari,1707184.68,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Agustus,1864041.26,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Februari,2344477.17,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Agustus,2767313.44,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,C Industri Pengolahan,Februari,1668246.27,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,C Industri Pengolahan,Agustus,1659292.95,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,D Pengadaan Listrik dan Gas,Februari,1694029.85,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,D Pengadaan Listrik dan Gas,Agustus,3281119.67,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,1668280.75,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,2098590.71,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,F Konstruksi,Februari,2477481.11,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,F Konstruksi,Agustus,2606716.2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1787051.1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,1876121.61,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Februari,1850857.33,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Agustus,2253391.06,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Februari,1354058.68,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Agustus,1637090.75,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Februari,1945615.41,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Agustus,1128495.76,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,L Real Estate,Februari,1700290.33,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,L Real Estate,Agustus,2450500.09,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,"M,N Jasa Perusahaan",Februari,1448479.94,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Tidak/Belum Tamat SD,"M,N Jasa Perusahaan",Agustus,1591723.91,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Tidak/Belum Tamat SD,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1232370.12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Tidak/Belum Tamat SD,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,1395455.41,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Tidak/Belum Tamat SD,P Jasa Pendidikan,Februari,1516442.06,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
Tidak/Belum Tamat SD,P Jasa Pendidikan,Agustus,1094887.38,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Tidak/Belum Tamat SD,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1688042.2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Tidak/Belum Tamat SD,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1342859.69,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Tidak/Belum Tamat SD,"R,S,T,U Jasa Lainnya",Februari,1342859.69,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
Tidak/Belum Tamat SD,"R,S,T,U Jasa Lainnya",Agustus,1304532.14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Tidak/Belum Tamat SD,Total,Februari,1749210.28,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
Tidak/Belum Tamat SD,Total,Agustus,1877398.26,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Sekolah Dasar,"A Pertanian, Kehutanan dan Perikanan",Februari,2012919.44,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,"A Pertanian, Kehutanan dan Perikanan",Agustus,2139659.23,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,B Pertambangan dan Penggalian,Februari,2684625.35,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,B Pertambangan dan Penggalian,Agustus,2861783.94,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,C Industri Pengolahan,Februari,1816843.54,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,C Industri Pengolahan,Agustus,2106044.11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,D Pengadaan Listrik dan Gas,Februari,2656301.98,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,D Pengadaan Listrik dan Gas,Agustus,3593517.89,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,1810355.45,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,1936667.91,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,F Konstruksi,Februari,2532438.69,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,F Konstruksi,Agustus,2703506.71,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1956600.16,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2069836.95,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,H Transportasi dan Pergudangan,Februari,2353355.88,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,H Transportasi dan Pergudangan,Agustus,2452309.76,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,I Penyediaan Akomodasi dan Makan Minum,Februari,1627949.94,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Sekolah Dasar,I Penyediaan Akomodasi dan Makan Minum,Agustus,1703299.54,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Sekolah Dasar,J Informasi dan Komunikasi,Februari,1676984.0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Sekolah Dasar,J Informasi dan Komunikasi,Agustus,2177330.71,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
Sekolah Dasar,K Jasa Keuangan dan Asuransi,Februari,1706527.82,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
Sekolah Dasar,K Jasa Keuangan dan Asuransi,Agustus,2052444.41,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
Sekolah Dasar,L Real Estate,Februari,2392940.56,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
Sekolah Dasar,L Real Estate,Agustus,1753583.3,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
Sekolah Dasar,"M,N Jasa Perusahaan",Februari,1961699.57,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Sekolah Dasar,"M,N Jasa Perusahaan",Agustus,2134649.72,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Sekolah Dasar,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1596206.73,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Sekolah Dasar,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,1602841.87,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Sekolah Dasar,P Jasa Pendidikan,Februari,1370490.32,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
Sekolah Dasar,P Jasa Pendidikan,Agustus,1136764.82,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Sekolah Dasar,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1680436.53,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Sekolah Dasar,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1320687.75,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Sekolah Dasar,"R,S,T,U Jasa Lainnya",Februari,1320687.75,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
Sekolah Dasar,"R,S,T,U Jasa Lainnya",Agustus,1483830.42,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Sekolah Dasar,Total,Februari,1970140.85,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
Sekolah Dasar,Total,Agustus,2143183.99,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Sekolah Menegah Pertama,"A Pertanian, Kehutanan dan Perikanan",Februari,2299072.12,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,"A Pertanian, Kehutanan dan Perikanan",Agustus,2420946.56,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,B Pertambangan dan Penggalian,Februari,3288626.37,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,B Pertambangan dan Penggalian,Agustus,3483973.44,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,C Industri Pengolahan,Februari,2316429.6,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,C Industri Pengolahan,Agustus,2504456.17,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,D Pengadaan Listrik dan Gas,Februari,2508178.56,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,D Pengadaan Listrik dan Gas,Agustus,2965479.18,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,2201879.0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,1967662.36,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,F Konstruksi,Februari,2651375.71,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,F Konstruksi,Agustus,2827261.82,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1964756.51,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2193060.46,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,H Transportasi dan Pergudangan,Februari,2793632.92,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,H Transportasi dan Pergudangan,Agustus,2781234.81,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,I Penyediaan Akomodasi dan Makan Minum,Februari,1743973.33,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,I Penyediaan Akomodasi dan Makan Minum,Agustus,1818821.67,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,J Informasi dan Komunikasi,Februari,2150125.49,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,J Informasi dan Komunikasi,Agustus,2232796.85,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,K Jasa Keuangan dan Asuransi,Februari,2784304.37,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
Sekolah Menegah Pertama,K Jasa Keuangan dan Asuransi,Agustus,2698237.05,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
Sekolah Menegah Pertama,L Real Estate,Februari,2707947.88,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
Sekolah Menegah Pertama,L Real Estate,Agustus,2343932.12,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
Sekolah Menegah Pertama,"M,N Jasa Perusahaan",Februari,2113080.29,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Sekolah Menegah Pertama,"M,N Jasa Perusahaan",Agustus,2269785.68,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Sekolah Menegah Pertama,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1947767.9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Sekolah Menegah Pertama,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,2019581.93,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Sekolah Menegah Pertama,P Jasa Pendidikan,Februari,1412030.69,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
Sekolah Menegah Pertama,P Jasa Pendidikan,Agustus,1280863.12,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Sekolah Menegah Pertama,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1692466.58,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Sekolah Menegah Pertama,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1618832.04,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Sekolah Menegah Pertama,"R,S,T,U Jasa Lainnya",Februari,1618832.04,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
Sekolah Menegah Pertama,"R,S,T,U Jasa Lainnya",Agustus,1764160.56,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Sekolah Menegah Pertama,Total,Februari,2194956.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
Sekolah Menegah Pertama,Total,Agustus,2379940.66,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Sekolah Menengah Atas (Umum),"A Pertanian, Kehutanan dan Perikanan",Februari,2753212.49,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),"A Pertanian, Kehutanan dan Perikanan",Agustus,2878503.28,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),B Pertambangan dan Penggalian,Februari,5048125.99,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),B Pertambangan dan Penggalian,Agustus,5488291.43,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),C Industri Pengolahan,Februari,3225670.96,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),C Industri Pengolahan,Agustus,3381985.96,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),D Pengadaan Listrik dan Gas,Februari,3704714.97,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
